business_name,inspection_score,Year,NumberofLocations,Weekend
CENTER CAFE,87,2003,90,FALSE
ORIENTAL SHOPPING CENTER - DELI,90,2017,19,FALSE
"MOTHER LODE, LLC, THE",100,2015,17,FALSE
L'AROMA BAKERY & DELI - RESTAURANT,87,2008,161,FALSE
DENNY'S,95,2005,111,FALSE
TOWNE PLACE SUITES  BY MARRIOTT -POOL,100,2016,15,FALSE
CARRS #1817 - RETAIL FISH,99,2001,21,FALSE
CHUGACH OPTIONAL ELEMENTARY SCHOOL,100,2005,38,FALSE
L'AROMA BAKERY & DELI - RESTAURANT,90,2006,161,FALSE
GRUENING MIDDLE SCHOOL,100,2001,40,FALSE
PEPPERCINI'S DELI HOUSE,94,2009,25,FALSE
WENDY'S #1,99,2004,63,FALSE
EGAN CONVENTION CENTER,97,2001,17,FALSE
BOBBY'S CAFE,95,2017,55,FALSE
GALLO'S MEXICAN RESTAURANT,82,2006,274,FALSE
BEAN'S CAFE INC,92,2006,49,FALSE
FRED MEYER - DELI,93,2005,189,FALSE
KK HOME TOWN RESTAURANT,91,2019,25,FALSE
LIONS DEN LOUNGE,98,2001,33,FALSE
"NEW CENTRAL MARKET PROCESSING, THE",95,2018,98,FALSE
CARRS #520 -  DELI,87,2001,80,FALSE
SOUTHSIDE GRILL,82,2015,70,FALSE
CAMP FIRE - O'MALLEY,100,2004,27,FALSE
CHEPO'S,76,2016,83,FALSE
KOBE TEPPAYAKI HOUSE,89,2016,151,FALSE
VIP DBA YOUNG BIN RESTAURANT,92,2015,115,FALSE
CARRS #1813 - BAKERY,98,2006,32,FALSE
PIONEER CLUB,96,2006,27,FALSE
BRADLEY HOUSE - BAR,100,2007,21,FALSE
PIPER'S RESTAURANT,88,2015,113,FALSE
DON JOSE'S MEXICAN RESTAURANT,92,2007,140,FALSE
FAIRFIELD INN & SUITES,90,2008,28,FALSE
CARRS #1817 - RETAIL MEAT,95,2001,18,FALSE
NEW SAGAYA MIDTOWN MARKET - DELI,90,2008,87,FALSE
ANCHORAGE COMMUNITY YMCA-LAKE HOOD,98,2016,10,FALSE
907 ALEHOUSE,90,2017,15,FALSE
LITTLE ITALY,92,2004,66,FALSE
MOTOR MOCHA #3,92,2017,58,FALSE
"ALASKA CLUB SOUTH, THE - SPA",100,2015,55,FALSE
CARRS #1812 - DELI,100,2007,46,FALSE
TEXAS ROADHOUSE,86,2015,23,FALSE
BIRCHWOOD ELEMENTARY SCHOOL,100,2019,37,FALSE
DON JOSE'S MEXICAN RESTAURANT,81,2006,140,FALSE
ANCH HILTON - HOOPER BAY,91,2005,76,FALSE
CARRS #520 - BAKERY,95,2007,46,FALSE
CAMP FIRE - POLARIS,100,2008,21,FALSE
DENNY'S,94,2007,111,FALSE
ALASKA REINDEER HOT DOG - S,90,2017,35,FALSE
TESORO - HUFFMAN,99,2017,6,FALSE
FIREWEED CHEVRON TNI,100,2015,22,FALSE
KOBE TEPPAYAKI HOUSE,86,2000,151,FALSE
CAMP FIRE - LAKE OTIS,100,2018,25,FALSE
GREAT HARVEST BREAD CO DBA JARRETT GRAINS LLC,95,2017,2,FALSE
UNCLE JOE'S PIZZERIA #5,90,2003,36,FALSE
WILLARD BOWMAN ELEMENTARY SCH,100,2000,36,FALSE
AFC SUSHI @ CARRS #1809,93,2017,4,FALSE
ASIA GARDEN,80,2006,119,FALSE
ANCHOR HOUSE,100,2016,15,FALSE
CAFE RISTRETTO,93,2016,18,FALSE
ORION SCHOOL,100,2008,38,FALSE
UAA ALASKA AIRLINES CRAFT & CARRY-M,100,2018,7,FALSE
SERRANO'S MEXICAN GRILL,88,2017,56,FALSE
COSTCO WHOLESALE - PROCESSOR,96,2000,27,FALSE
SWEET BASIL CAFE,87,2007,96,FALSE
PHO VIETNAM #3,93,2016,17,FALSE
CARRS #2628 - SALAD BAR,90,2004,30,FALSE
"PATHWAY HOME, THE",89,2017,21,FALSE
EXTENDED STAY DELUXE - POOL,100,2016,37,FALSE
KRINERS DINER,83,2016,53,FALSE
CARRS #1812 - ORIENT EXPRESS,95,2004,34,FALSE
907 ALEHOUSE - BAR,97,2017,6,FALSE
HOLIDAY STATION STORE #601 SNACK,89,2004,52,FALSE
UNCLE JOE'S PIZZERIA #5,92,2009,36,FALSE
TACO KING III,92,2016,47,FALSE
NEW PHO SAIGON RESTAURANT,83,2016,112,FALSE
SPENARD ROAD HOUSE,92,2009,53,FALSE
NORTHERN LIGHTS PRESCHOOL & CHILD CARE,96,2016,25,FALSE
KK HOME TOWN RESTAURANT,91,2019,25,FALSE
JALAPENOS MEXICAN RESTAURANT,90,2006,104,FALSE
PROVIDENCE HOSPITAL KITCHEN,92,2007,42,FALSE
GOLDEN GATE,100,2008,67,FALSE
TACO KING,95,2018,115,FALSE
PLAYER'S CHOICE BINGO,99,2001,36,FALSE
ALASKA REGIONAL HOSPITAL,90,2016,40,FALSE
ANCHORAGE MARRIOTT DOWNTOWN - POOL,100,2005,28,FALSE
SPENARD ROAD HOUSE,99,2015,53,FALSE
JUDY'S CAFE,96,2009,55,FALSE
KK HOME TOWN RESTAURANT,91,2019,25,FALSE
88TH ST PIZZA,95,2017,43,FALSE
GRANNY B'S CAFE,89,2007,61,FALSE
ALASKA NEUROLOGY CENTER CAFE,98,2018,10,FALSE
PIPER'S RESTAURANT,92,2016,113,FALSE
SWEET PINK PEPPER,79,2004,154,FALSE
ROSETTA'S ITALIAN EATERY,97,2006,55,FALSE
BURRITO HEAVEN,92,2016,27,FALSE
DOUBLE MUSKY INN,94,2015,28,FALSE
FRED MEYER 00656 - BAKERY,100,2005,19,FALSE
TACO KING V,94,2016,33,FALSE
VILLA PIZZA,90,2001,68,FALSE
BOBA TREE,93,2017,15,FALSE
LIONS DEN LOUNGE,85,2006,33,FALSE
RONNIE,86,2007,95,FALSE
ORSO - BAR,96,2002,13,FALSE
SAMURAI SUSHI,73,2009,119,FALSE
CHINOOK ELEMENTARY SCHOOL,100,2003,40,FALSE
JAVA HUT,94,2017,48,FALSE
STARBUCKS,96,2017,20,FALSE
CARRS #1809 - SALAD BAR,100,2003,34,FALSE
SUBWAY OF ALASKA #14372,87,2018,62,FALSE
CENTRALIZED KITCHEN,93,2007,26,FALSE
CABIN TAVERN,94,2016,23,FALSE
SPRING HILL ELEM CAFETERIA,100,2016,37,FALSE
"KOBUK, THE",100,2005,14,FALSE
CAFE AMSTERDAM,92,2017,49,FALSE
SAPPORE COFFEE BONIFACE,98,2017,30,FALSE
MAIN EVENT CATERING - M,100,2017,13,FALSE
WILLIAM TYSON ELEMENTARY,100,2000,38,FALSE
MOCHA MASTERS,100,2009,29,FALSE
MOOSE'S TOOTH PUB & PIZZERIA,91,2003,60,FALSE
CARL'S JR RESTAURANT,93,2008,254,FALSE
TESORO -BONIFACE,100,2015,4,FALSE
TACO BELL #19282,96,2006,43,FALSE
CROWNE PLAZA HOTEL/JUNO,82,2017,59,FALSE
KK HOME TOWN RESTAURANT,91,2019,25,FALSE
ROMANO'S BAR,96,2007,20,FALSE
OUTBACK STEAKHOUSE - BAR,96,2009,36,FALSE
JASMINE THAI LLC,85,2016,16,FALSE
CHUGIAK ELEMENTARY SCHOOL,100,2009,41,FALSE
MEKONG MARKET,96,2016,30,FALSE
POLARIS K-12 SCHOOL,91,2005,38,FALSE
SOUTH ANCHORAGE AREA HIGH SCHOOL,100,2005,35,FALSE
POPEYES CHICKEN AND BISCUITS,82,2015,153,FALSE
SULLIVAN ARENA S W (Subway Kiosk),100,2003,15,FALSE
NEW PHO SAIGON RESTAURANT,83,2016,112,FALSE
FOOD BANK OF ALASKA,100,2002,16,FALSE
NEW SAGAYA'S MIDTOWN MARKET - FISH,100,2002,30,FALSE
UNCLE JOE'S PIZZERIA #2,87,2003,36,FALSE
TACO BELL #19953,95,2004,46,FALSE
NEW SAGAYA MIDTOWN MARKET - DELI,82,2006,87,FALSE
TARGET - STARBUCKS,100,2015,12,FALSE
RED ROBIN BAR DIMOND,100,2005,19,FALSE
SOUTH ANCHORAGE AREA HIGH SCHOOL,100,2006,35,FALSE
FRED MEYER 00656 - RETAIL FISH,100,2003,19,FALSE
"HOT SPOT, THE",93,2017,36,FALSE
DENALI ELEMENTARY SCHOOL,99,2001,36,FALSE
BISTRO IT,94,2015,16,FALSE
CARRS #2628 - RETAIL MEAT,98,2016,19,FALSE
EXTENDED STAY DELUXE - POOL,100,2005,37,FALSE
CARRS #1817 - STARBUCK'S SNACK BAR,97,2006,22,FALSE
CARRS #1802 - DELI,90,2004,56,FALSE
"PERFECT CUP PLUS, THE",81,2009,91,FALSE
EXTENDED STAY DELUXE - POOL,100,2016,37,FALSE
PANCHO'S VILLA,100,2015,62,FALSE
EAST HIGH SCHOOL/P & R,100,2004,18,FALSE
THREE BEARS #100 - PRODUCE,100,2015,6,FALSE
EAGLE RIVER SNACK BAR,97,2015,56,FALSE
COSTCO WHOLESALE #63 - PROCESSOR,100,2000,24,TRUE
ANCHORAGE CORRECTIONAL COMPLEX EAST,96,2003,67,FALSE
"ALASKA CLUB SOUTH, THE",100,2004,54,FALSE
HOLIDAY INN EXPRESS - POOL,100,2006,37,FALSE
"FALAFEL KING, THE",99,2009,61,FALSE
BAYSHORE CLUBHOUSE POOL,100,2007,31,FALSE
CAMP FIRE - INLET VIEW,100,2017,35,FALSE
ANCHORAGE CORRECTIONAL COMPLEX EAST,86,2007,67,FALSE
PETER'S SUSHI SPOT,89,2015,56,FALSE
CABO COFFEE MULDOON,90,2018,15,FALSE
FLO'S PANCAKE HOUSE,82,2015,29,FALSE
COLLEGE GATE ELEMENTARY SCHOOL,99,2017,38,FALSE
ORIENTAL SHOPPING CENTER - DELI,85,2016,19,FALSE
COMMON GROUNDS ESPRESSO LLC,94,2007,29,FALSE
MCGINLEY'S IRISH PUB - FOOD,100,2006,17,FALSE
PROVIDENCE REGION BLDG COFFEE KIOSK,100,2016,17,FALSE
HEAVENLY CUP - NEW BLDG,96,2007,32,FALSE
TEXAS ROADHOUSE OLD SEWARD - REST,82,2018,18,TRUE
CHUGIAK ELEMENTARY SCHOOL,100,2019,41,FALSE
KK HOME TOWN RESTAURANT,91,2019,25,FALSE
RED ROBIN,97,2017,26,FALSE
ALASKAN RUSTIC MARKET,85,2009,21,FALSE
AURORA SCHOOL,100,2005,42,FALSE
ESPRESSO ESPRESSIONS CAFE & EATERY,91,2009,110,FALSE
SKI & BENNY PIZZA,99,2016,4,FALSE
"ALASKA MINT, LLC",100,2002,15,FALSE
COHO COFFEE COMPANY,91,2017,27,FALSE
I.H.O.P.,95,2007,208,FALSE
HAMBURGER HAVEN,85,2007,129,FALSE
WILLIWAW ELEMENTARY SCHOOL,100,2015,38,FALSE
UAA - CUDDY CENTER,91,2009,57,FALSE
KIDS'  CORPS - MOUNTAIN VIEW CENTER,100,2008,26,FALSE
FRED MEYER - BAKERY,98,2004,88,FALSE
CARRS #1809 - BAKERY,97,2000,21,FALSE
CAMP FIRE - SPRING HILL,100,2008,28,FALSE
WILLIAM TYSON ELEMENTARY,100,2005,38,FALSE
AKEELA TREATMENT SERVICES,100,2016,8,FALSE
I.H.O.P.,84,2006,208,FALSE
MIDNIGHT SUN BREWING COMPANY,92,2017,34,FALSE
SUBWAY OF ALASKA #23397,100,2015,52,FALSE
CRYSTAL CHILD DEVELOPMENT CENTER - LAKE OTIS,100,2016,10,FALSE
PIZZA MAN #1,89,2004,83,FALSE
BLACK BEAR COFFEE COMPANY,85,2018,55,FALSE
ASIAN KITCHEN - NORTHWOOD,97,2000,51,FALSE
YOGURTWORKS ALASKA,93,2016,11,FALSE
SICILY'S PIZZA,96,2002,323,FALSE
SAPPORE -ANTHC,84,2017,11,FALSE
POPEYES CHICKEN AND BISCUITS,83,2009,153,FALSE
PEKING WOK,86,2015,271,FALSE
GRUENING MIDDLE SCHOOL,100,2019,40,FALSE
GRANNY B'S CAFE,96,2005,61,FALSE
KK HOME TOWN RESTAURANT,91,2019,25,FALSE
CAMPBELL CREEK HOUSE,97,2016,8,FALSE
CAMP FIRE - CHUGIAK,100,2015,30,FALSE
SARA'S SANDWICHES,94,2003,48,FALSE
HOLIDAY STATIONSTORE SNACK #610,100,2002,38,FALSE
CAROUSEL CHILD CARE CENTER,98,2015,58,FALSE
TESORO -SPENARD,100,2015,7,FALSE
TACO BELL #5649,92,2016,55,FALSE
ANCHORAGE COMMUNITY YMCA - POOL,100,2003,53,FALSE
BRADLEY HOUSE,98,2006,54,FALSE
CENTER CAFE,92,2005,90,FALSE
WALGREENS #12679,84,2016,29,FALSE
SUBWAY OF ALASKA #7526,98,2003,63,FALSE
ROUND TABLE PIZZA,87,2018,14,FALSE
JIMMY SUSHI,83,2015,43,FALSE
SICILY'S PIZZA,100,2001,323,FALSE
JACKIE'S PLACE,100,2002,95,FALSE
GALLO'S MEXICAN RESTAURANT-BAR,95,2009,35,FALSE
SPENARD ROAD HOUSE,92,2009,53,FALSE
DOWNTOWN SHELL  A & W,79,2003,105,FALSE
HOST COMMISSARY,100,2003,48,FALSE
VILLA PIZZA,82,2004,68,FALSE
JACKIE'S PLACE,93,2009,95,FALSE
MILLENIUM HOTEL - FLYING MACHINE,85,2006,123,FALSE
HOMESTEAD LOUNGE  #2,88,2008,35,FALSE
HOLIDAY STATIONSTORE #602 DELI,93,2005,46,FALSE
CAMP FIRE - GLADYS WOOD,100,2009,32,FALSE
AK PACIFIC UNIVERSITY,87,2000,70,FALSE
HACIENDA MEXICAN RESTAURANT,97,2007,62,FALSE
GALLO'S MEXICAN RESTAURANT,86,2005,274,FALSE
PAPA MURPHY'S,90,2016,110,FALSE
HIDEAWAY BAR,97,2017,34,FALSE
COLD STONE CREAMERY,99,2016,92,FALSE
CHUGIAK HIGH SCHOOL,100,2019,42,FALSE
BIRCHWOOD BEHAVIORAL HEALTH COTTAGE C,99,2016,10,FALSE
EASTERN EUROPEAN DELI & STORE,98,2019,4,FALSE
COLD STONE CREAMERY,86,2016,92,FALSE
TACO PALACE,84,2018,24,FALSE
CARRS #1812 - RETAIL FISH,100,2004,28,FALSE
DAWG HOUSE CAFE,92,2004,66,FALSE
EASTERN EUROPEAN DELI & STORE,98,2019,4,FALSE
DRAGON RESTAURANT,84,2007,191,FALSE
JITTERS,96,2007,54,FALSE
SULLIVAN ARENA S W (Subway Kiosk),100,2017,15,FALSE
907 ALEHOUSE,90,2017,15,FALSE
CHUGACH PHYSICAL THERAPY,100,2006,26,FALSE
BRADLEY HOUSE,96,2005,54,FALSE
HULA HANDS RESTAURANT,89,2015,181,FALSE
FRED MEYER - DELI,89,2008,189,FALSE
KINCAID GRILL,93,2003,49,FALSE
LAS MARGARITAS,85,2015,54,FALSE
CABO COFFEE C ST,96,2016,10,FALSE
URBAN GREENS LLC,96,2008,7,FALSE
ROMANO'S,100,2003,54,FALSE
SWEET PINK PEPPER,81,2007,154,FALSE
ANCH HILTON - BRUINS,100,2000,34,FALSE
TACO BELL #5649,92,2016,55,FALSE
BRANDIES,93,2008,34,FALSE
T.G.I. FRIDAYS,83,2016,68,FALSE
DOWNTOWN CHEVRON GROCERY,100,2016,26,FALSE
NEW SAGAYA MIDTOWN MARKET - DELI,95,2008,87,FALSE
OUTBACK STEAKHOUSE - BAR,91,2008,36,FALSE
CARRS #1813 - DELI,94,2003,68,FALSE
FAIRFIELD INN & SUITES - HOT TUB,100,2006,28,FALSE
"HILLCREST CHILDREN'S CTR., INC",99,2003,74,FALSE
HOLIDAY STATIONSTORE SNACKBAR #625,100,2004,36,FALSE
JJ'S SPORTS LOUNGE,91,2015,24,FALSE
SOUTHSIDE GRILL,85,2018,70,FALSE
PTARMIGAN LOU'S SALOON,100,2006,18,FALSE
SOUTHSIDE BISTRO,95,2000,59,FALSE
MAD MYRNA'S,92,2002,14,FALSE
CARRS #1802 - DELI,90,2004,56,FALSE
CABO COFFEE ABBOTT,91,2017,11,FALSE
SHINES ASIAN FUSION BISTRO,83,2017,54,FALSE
AK ALCHEMIST,98,2017,30,FALSE
LOS ARCOS RESTAURANT,86,2018,79,FALSE
SUBWAY OF ALASKA #23397,97,2000,52,FALSE
MILANO'S PIZZA,93,2015,74,FALSE
GALLO'S MEXICAN RESTAURANT,96,2007,274,FALSE
KODIAK KUP ESPRESSO,95,2009,27,FALSE
COSTCO WHOLESALE,100,2017,29,FALSE
BARTLETT HIGH POOL/P & R,100,2005,21,FALSE
DAMI,94,2005,103,FALSE
BETHEL CAFE,96,2017,9,FALSE
JALAPENOS MEXICAN RESTAURANT,96,2004,104,FALSE
SWEET BASIL CAFE,85,2015,96,FALSE
MCDONALD'S,100,2004,646,FALSE
CARRS #2628 - GROCERY,100,2004,31,FALSE
BEAN'S CAFE INC,89,2000,49,FALSE
NORTHERN SNO -S,100,2016,8,TRUE
"ALASKA CLUB WEST, THE - SNACK BAR",85,2008,40,FALSE
ANCHORAGE CORRECTIONAL FACILITY WEST,98,2002,58,FALSE
MOTOR MOCHA #3,92,2017,58,FALSE
BLACK CAT CAFE - MEARS STUDENT STORE,92,2018,7,FALSE
EGAN CENTER SNACK BAR,99,2004,18,FALSE
ANCH CHRISTIAN SCHOOL,100,2008,46,FALSE
ANCHORAGE MARRIOTT DOWNTOWN - BAR,89,2016,17,FALSE
SICILY'S PIZZA,87,2008,323,FALSE
INLET VIEW ELEMENTARY SCHOOL,100,2015,38,FALSE
HOLIDAY INN EXPRESS,95,2008,26,FALSE
IMAGINATION STATION,93,2018,19,FALSE
SARA'S SANDWICHES,99,2004,48,FALSE
CARRS #1813 - GROCERY,100,2017,29,FALSE
HOLIDAY STATIONSTORE #606,99,2016,29,FALSE
FIREWEED CHEVRON TNI,95,2000,22,FALSE
"FLIGHT DECK, IMCA, INC.",93,2009,20,FALSE
ANCH CHRISTIAN SCHOOL,100,2001,46,FALSE
KINLEY'S RESTAURANT & BAR INC,96,2004,71,FALSE
SOUPER BOWL,100,2015,59,FALSE
HOLIDAY STATIONSTORE  #632,100,2007,30,FALSE
SUBWAY OF ALASKA #7526,95,2009,63,FALSE
CARRS #1817 - ORIENT EXPRESS,89,2007,53,FALSE
JACK SPRAT,100,2005,34,FALSE
CARRS #1817 - GROCERY,100,2016,26,FALSE
"ALASKA CLUB HOT TUB, THE",100,2009,50,FALSE
DENNY'S,91,2004,111,FALSE
AM FRONTIER INC DBA AM DELIGHT,100,2017,6,FALSE
ORSO,88,2009,39,FALSE
KOBE TEPPAYAKI HOUSE,87,2009,151,FALSE
LAHN PAD-THAI RESTAURANT,96,2004,102,FALSE
DAMI,81,2016,103,FALSE
BIRCHWOOD ELEMENTARY SCHOOL,100,2008,37,FALSE
MOUNTAIN VIEW ELEM SCHOOL,100,2004,45,FALSE
SERVICE HIGH POOL/P & R,100,2017,31,FALSE
LAHN PAD-THAI RESTAURANT,91,2006,102,FALSE
FRED MEYER 00656 - DELI,100,2006,52,FALSE
POLARIS K-12 SCHOOL,91,2005,38,FALSE
WENDY'S #2,93,2008,59,FALSE
BEAR TOOTH GRILL,95,2006,75,FALSE
CARRS #1812 - BAKERY,98,2017,8,FALSE
SUBWAY OF ALASKA #10986,90,2005,50,FALSE
MIKE'S QUALITY MEATS,100,2000,47,FALSE
CROSTINI CAFE,98,2007,53,FALSE
FRED MEYER 00656 - DELI,99,2002,52,FALSE
JACK SPRAT,95,2000,34,FALSE
EGAN CONVENTION CENTER BAR,99,2004,12,FALSE
SUBWAY OF ALASKA #14372,100,2002,62,FALSE
BELLA VISTA,92,2008,56,FALSE
"NEW CENTRAL MARKET, THE",89,2007,55,FALSE
NORTHWOOD SCHOOL,100,2003,38,FALSE
"CLUB SINROCK, LLC",100,2015,25,FALSE
DING HOW RESTAURANT,80,2009,196,FALSE
PROVIDENCE HOSPITAL - CAFE SOLANGE,100,2003,33,FALSE
CAMP FIRE - HUFFMAN,100,2008,28,FALSE
PEKING WOK,72,2007,271,FALSE
SEWARD'S FOLLY,83,2016,48,FALSE
PHONATIK VIETNAMESE CUISINE & LOUNGE,96,2017,29,FALSE
GALLO'S MEXICAN RESTAURANT,98,2004,274,FALSE
PIZZA PLAZA,91,2015,90,FALSE
DING HOW RESTAURANT,87,2006,196,FALSE
PEKING WOK,92,2000,271,FALSE
CARRS #2628 - ORIENT EXPRESS,95,2004,37,FALSE
CHUGIAK/EAGLE RIVER FOOD PANTRY,95,2009,15,FALSE
SUITE 100 RESTAURANT,90,2007,52,FALSE
CHAIR 5,91,2003,72,FALSE
SARA'S GIFT CACHE -S,94,2016,10,FALSE
POPEYES CHICKEN AND BISCUITS,82,2017,153,FALSE
WAL-MART  STORE #2071 BAKERY,98,2017,8,FALSE
ROMANO'S,96,2015,54,FALSE
CARRS #1805 - RETAIL MEAT,97,2003,27,FALSE
PAPA JOHN'S PIZZA,93,2017,83,FALSE
RUSH,96,2015,22,FALSE
VILLAGE INN #2,94,2004,81,FALSE
KRINERS DINER,87,2015,53,FALSE
SIDE STREET ESPRESSO,93,2001,16,FALSE
PHO VIETNAM #4,81,2017,23,FALSE
TACO KING,75,2017,115,FALSE
CARRS #520 -  DELI,91,2009,80,FALSE
GOLDENVIEW MIDDLE SCHOOL,100,2008,38,FALSE
DRAGON RESTAURANT,85,2000,191,FALSE
BIG BOY EXPRESS MARKET,83,2007,133,FALSE
TEXAS ROADHOUSE,89,2018,23,FALSE
H2OASIS WAVE POOL,100,2017,54,FALSE
PROVIDENCE HOSPITAL KITCHEN,97,2015,42,FALSE
CARRS #1817 - BAKERY,96,2002,45,FALSE
CAMP FIRE - HOMESTEAD,100,2008,34,FALSE
H2OASIS INDOOR WATERPARK RESTAURANT,99,2004,95,FALSE
PEKING WOK,89,2008,271,FALSE
LONG BRANCH SALOON,95,2004,91,FALSE
FIREWEED CHEVRON TNI,100,2002,22,FALSE
CARRS #1813 - SALAD BAR,98,2003,52,FALSE
BEAN'S CAFE INC,86,2007,49,FALSE
SICILY'S PIZZA,91,2006,323,FALSE
CARRS #2628 - DELI,90,2007,48,FALSE
FRED MEYER - BAKERY,95,2005,88,FALSE
DAMI,82,2007,103,FALSE
SUITE 100 RESTAURANT,99,2009,52,FALSE
DOWNTOWN CHEVRON - SNACK BAR,99,2004,33,FALSE
GRUENING MIDDLE SCHOOL,100,2008,40,FALSE
DIMOND HIGH SCHOOL,100,2015,34,FALSE
COHO CUP #4,99,2016,32,FALSE
EAGLE RIVER HIGH SCHOOL,96,2008,32,FALSE
ST. CHRISTOPHERS CHURCH PANTRY,100,2004,14,FALSE
BPX EXPLORATION CAFE,100,2003,43,FALSE
PIZZA PLAZA,85,2008,90,FALSE
SUBWAY OF ALASKA #14372,88,2008,62,FALSE
DOWNTOWN CHEVRON - SNACK BAR,90,2009,33,FALSE
FAIRFIELD INN & SUITES,88,2005,28,FALSE
O'MALLEY ON THE GREEN  BAR,100,2002,21,FALSE
EAGLE RIVER SNACK BAR,94,2006,56,FALSE
TOFU HOUSE RESTAURANT,96,2017,28,FALSE
PROVIDENCE HOSPITAL KITCHEN,100,2003,42,FALSE
FRED MEYER 00656 - DELI,100,2008,52,FALSE
WESTMARK - SOLSTICE CAFE,96,2009,47,FALSE
IMAGINATION STATION,96,2016,19,FALSE
PIZZA OLYMPIA,100,2003,69,FALSE
OUTBACK STEAKHOUSE REST.,81,2015,124,FALSE
BIG MIKES,100,2016,3,FALSE
GOVERNMENT HILL ELEM SCHOOL,100,2009,36,FALSE
ALASKA NATIVE CULTURAL CHARTER SCHOOL,100,2016,11,FALSE
WALGREENS #15362,97,2015,8,FALSE
I.H.O.P.,83,2009,208,FALSE
ESPRESSO ESPRESSIONS CAFE & EATERY,100,2015,110,FALSE
DRAGON RESTAURANT,74,2004,191,FALSE
CENTER CAFE,92,2008,90,FALSE
AJ'S RIB-A-GO-GO,99,2015,28,FALSE
RAVENWOOD ELEMENTARY CAFETERIA,100,2005,37,FALSE
ORIENTAL EXPRESS,96,2016,9,FALSE
CABELA'S,99,2017,16,FALSE
SUBWAY OF ALASKA #4802,100,2007,37,FALSE
HOLIDAY STATIONSTORE #632 SNACK,92,2017,34,FALSE
FLO'S PANCAKE HOUSE,82,2015,29,FALSE
CLUB PARIS,91,2004,50,FALSE
H2OASIS ALASKA TUB,100,2004,58,FALSE
TOP BOP MIDTOWN,96,2016,10,FALSE
CABO COFFEE ABBOTT,91,2017,11,FALSE
JOY CHILD DEVELOPMENT CENTER,100,2016,38,FALSE
CACHE STORE 2 - SNACK,100,2018,8,FALSE
HYATT HOUSE HOTEL ANCHORAGE,100,2017,2,FALSE
ROSETTA'S ITALIAN EATERY,95,2007,55,FALSE
JEWEL LAKE TASTEE FREEZ,95,2003,65,FALSE
PEANUT FARM - RESTAURANT,90,2008,92,FALSE
VIP DBA YOUNG BIN RESTAURANT,84,2018,115,FALSE
MIRROR LAKE MIDDLE SCHOOL,100,2009,47,FALSE
TACO BELL #18131,100,2017,45,FALSE
OCEANVIEW ELEMENTARY SCHOOL,100,2005,39,FALSE
ANCHORAGE MARKET,93,2008,32,FALSE
TACO KING III,82,2006,47,FALSE
DENALI ELEMENTARY SCHOOL,100,2005,36,FALSE
CROW CREEK MERCANTILE #1839,95,2015,53,FALSE
PERK-UP ESPRESSO,89,2009,70,FALSE
SARA'S SANDWICHES,96,2015,48,FALSE
NORDSTROM - CAFE EXPRESS,90,2009,38,FALSE
AWAIC,97,2009,50,FALSE
DOUBLE MUSKY INN,100,2008,28,FALSE
"ICE CREAM SHOP, THE",100,2016,18,FALSE
FIORI D'ITALIA,96,2004,39,FALSE
CARRS #1809 - GROCERY,95,2005,28,FALSE
JACK SPRAT,91,2017,34,FALSE
PEKING WOK,83,2009,271,FALSE
CAMP FIRE - ROGERS PARK,100,2017,26,FALSE
DAVID GREEN GROUP J.V.,93,2017,7,FALSE
WILLIWAW - ROOF BAR,85,2016,9,FALSE
ORIENTAL GARDEN,82,2016,23,FALSE
LONG BRANCH SALOON,86,2006,91,FALSE
CROW CREEK MERCANTILE #1839,100,2016,53,FALSE
PIZZA MAN #1,97,2007,83,FALSE
ANCHORAGE CHRISTIAN PRESCHOOL,91,2007,48,FALSE
BUTCHER BLOCK,96,2016,16,FALSE
CARRS #1817 - SALAD BAR,95,2006,35,FALSE
SUBWAY OF ALASKA #7526,95,2015,63,FALSE
CACHE STORE 2,93,2016,7,FALSE
BOMBAY DELUXE,94,2009,120,FALSE
H2OASIS INDOOR WATERPARK RESTAURANT,93,2009,95,FALSE
FIRETAP RESTAURANT & ALEHOUSE,100,2015,23,FALSE
DIMOND CENTER HOTEL - BREAKFAST BAR,95,2007,23,FALSE
BEAR MOUNTAIN GRILL,96,2006,81,FALSE
UAA ALASKA AIRLINES CRAFT & CARRY-M,100,2016,7,FALSE
CARRS #1805 - DELI,88,2009,86,FALSE
HOMESTEAD LOUNGE  #2,96,2017,35,FALSE
HOMESTEAD LOUNGE  #2,95,2016,35,FALSE
AMORE PIZZA,100,2004,45,FALSE
CARL'S JR RESTAURANT,95,2007,254,FALSE
JJ'S SPORTS LOUNGE,90,2016,24,FALSE
CARRS #1802 - GROCERY,99,2017,32,FALSE
"ICE CREAM SHOP, THE",100,2008,18,FALSE
WEST HIGH SCHOOL,100,2007,36,FALSE
LITTLE DIPPER INC DBA CARPENTIER'S LOUNGE BAR,91,2007,33,FALSE
POPEYES CHICKEN AND BISCUITS,82,2017,153,FALSE
KENNY'S KITCHEN,98,2015,78,FALSE
AK PACIFIC UNIVERSITY,100,2004,70,FALSE
FRED MEYER 00656 - DELI,90,2006,52,FALSE
MIDTOWN CENTER,100,2017,9,FALSE
CENTRALIZED KITCHEN,93,2008,26,FALSE
CAFE AMSTERDAM,85,2005,49,FALSE
FIREWEED CHEVRON TNI,100,2007,22,FALSE
DAMI,77,2007,103,FALSE
BRIGHT BEGINNINGS EARLY LEARNING,86,2017,134,FALSE
